score,label
0,0
44,0
37,0
33,0
68,0
17,0
45,0
49,1
7,0
66,0
27,0
12,0
0,0
10,0
32,0
19,0
56,0
42,0
39,0
10,0
89,1
77,1
32,0
38,0
36,0
48,0
46,0
15,0
18,0
41,0
30,0
60,0
46,0
6,0
28,0
35,0
15,0
25,0
15,0
15,0
47,0
53,0
37,0
43,0
25,0
50,0
28,0
22,0
13,0
63,1
39,0
41,0
46,0
23,0
21,0
47,0
28,0
78,1
25,0
43,0
63,0
54,1
26,0
45,1
61,1
36,0
67,0
27,0
26,0
37,0
38,0
36,0
34,0
41,0
51,0
78,1
44,0
43,0
29,0
19,0
25,0
47,0
16,0
22,0
57,0
27,0
9,0
23,0
46,0
53,0
28,0
37,0
100,1
41,0
6,0
50,0
52,0
29,0
14,0
49,0
14,0
96,1
28,0
34,0
40,0
8,0
13,0
25,0
30,0
14,0
17,0
10,0
72,0
43,0
32,0
32,0
38,0
20,0
41,0
27,0
16,0
32,0
64,0
61,0
32,0
25,0
16,0
35,0
7,0
22,0
30,0
44,0
87,1
20,0
34,0
39,0
47,0
36,0
42,0
15,0
29,0
19,0
13,0
55,0
8,0
38,0
0,0
31,0
21,0
17,0
51,0
55,0
40,0
18,0
33,0
25,0
40,0
59,0
48,0
32,0
31,0
28,0
61,0
26,0
20,0
52,0
68,0
30,0
35,0
13,0
30,0
67,0
6,0
64,0
34,0
0,0
27,0
34,0
17,0
79,1
0,0
49,0
26,0
28,0
2,0
40,0
57,1
43,0
56,0
33,0
18,0
35,0
16,0
21,0
31,0
59,0
27,0
44,0
55,0
50,0
49,0
28,0
27,0
22,0
25,0
11,0
31,0
8,0
19,0
0,0
30,0
31,0
32,0
47,0
39,0
34,0
0,0
26,0
42,0
57,0
39,0
30,0
35,0
25,0
18,0
13,0
30,0
19,0
36,0
64,0
45,0
58,0
19,0
40,0
31,0
20,0
0,0
59,0
10,0
26,0
42,0
31,0
30,0
48,0
60,0
56,0
8,0
30,0
26,0
38,0
33,0
40,0
13,0
95,1
34,0
31,0
61,0
27,0
0,0
55,0
17,0
68,1
40,0
25,0
58,0
55,0
41,0
24,0
50,1
59,0
41,0
9,0
27,0
0,0
42,0
42,0
38,0
88,1
46,0
42,0
39,0
26,0
45,0
49,0
32,0
29,0
8,0
4,0
27,0
31,0
29,0
51,0
7,0
24,0
35,0
54,0
27,0
42,0
16,0
44,0
31,0
44,0
45,0
59,0
73,0
36,0
17,0
44,0
40,0
47,0
33,0
40,0
46,0
11,0
19,0
11,0
33,0
48,0
74,1
57,0
32,0
47,0
46,0
25,0
43,0
62,1
9,0
73,0
37,0
21,0
0,0
13,0
45,0
36,0
3,0
16,0
42,0
1,0
10,0
32,0
60,0
79,1
28,0
63,0
65,0
49,1
15,0
21,0
40,0
0,0
38,0
25,0
7,0
25,0
4,0
23,0
16,0
17,0
21,0
17,0
43,0
7,0
64,0
39,0
40,0
38,0
18,0
73,1
25,0
51,0
23,0
45,0
0,0
32,0
62,0
44,0
55,0
27,0
44,0
28,0
28,0
20,0
26,0
27,0
21,0
50,0
71,0
43,0
30,0
47,0
34,0
43,0
17,0
35,0
48,0
14,0
46,0
24,0
79,1
39,0
23,0
29,0
66,1
64,0
9,0
44,0
55,0
22,0
22,0
40,0
0,0
62,0
35,0
33,0
0,0
17,0
36,0
20,0
57,0
52,0
32,0
41,0
71,1
13,0
23,0
30,0
90,1
34,0
9,0
37,0
75,0
48,0
30,0
60,0
42,0
22,0
47,0
0,0
36,0
19,0
30,0
32,0
41,0
29,0
34,0
15,0
34,0
80,1
39,0
20,0
22,0
76,0
41,0
31,0
98,1
6,0
37,0
56,0
58,0
64,0
57,0
39,0
16,0
34,0
0,0
41,0
49,0
44,0
36,0
46,0
37,0
33,0
43,0
53,0
44,0
27,0
17,0
18,0
39,0
37,0
59,0
44,0
38,0
72,1
25,0
24,0
20,0
82,1
36,0
30,0
46,0
63,0
2,0
23,0
7,0
47,0
32,0
72,0
8,0
40,0
28,0
36,0
10,0
15,0
70,0
33,0
17,0
64,0
25,0
61,0
58,0
39,0
44,0
45,0
57,0
39,0
0,0
52,0
47,0
49,0
60,0
75,1
42,0
15,0
32,0
38,0
73,0
8,0
35,0
11,0
43,0
13,0
49,0
26,0
28,0
21,0
53,0
41,0
53,0
2,0
35,0
47,0
32,0
33,0
37,0
22,0
36,0
53,0
48,0
34,0
42,0
41,0
39,0
7,0
59,0
26,0
33,0
25,0
23,0
44,0
14,0
29,0
32,0
22,0
81,1
27,0
11,0
12,0
23,0
46,0
48,0
46,0
48,0
52,0
24,0
28,0
17,0
14,0
33,0
26,0
42,0
33,0
0,0
36,0
41,0
12,0
38,0
42,0
37,0
21,0
34,0
57,0
43,0
10,0
39,0
21,0
14,0
45,0
61,0
14,0
30,0
23,0
63,0
88,1
44,0
40,0
5,0
38,0
46,0
25,0
61,0
76,1
44,0
55,0
29,0
45,0
55,0
0,0
46,0
32,0
53,0
31,0
10,0
46,0
70,1
32,0
17,0
20,0
55,0
44,0
44,0
67,0
35,0
49,0
38,0
33,0
33,0
80,0
7,0
37,0
39,0
68,0
68,1
28,0
33,0
35,0
35,0
3,0
31,0
54,0
76,1
55,0
29,0
21,0
74,1
48,0
48,0
76,1
32,0
54,0
23,0
44,0
60,0
41,0
50,0
21,0
45,0
25,0
55,0
35,0
24,0
40,0
40,0
15,0
8,0
43,0
27,0
17,0
69,0
0,0
37,0
19,0
30,0
61,0
25,0
65,0
31,0
49,0
15,0
0,0
1,0
34,0
0,0
34,0
14,0
25,0
55,0
60,0
49,1
59,1
29,0
54,0
21,0
30,0
10,0
21,0
32,0
44,0
13,0
0,0
43,0
39,0
31,0
69,0
12,0
39,0
20,0
38,0
13,0
88,1
40,0
25,0
28,0
0,0
0,0
29,0
36,0
18,0
38,0
27,0
36,0
38,0
40,0
42,0
24,0
46,0
35,0
46,0
33,0
61,0
54,0
12,0
43,0
22,0
41,0
33,0
25,0
21,0
0,0
32,0
36,0
30,0
43,0
35,0
38,0
37,0
45,0
26,0
0,0
18,0
45,0
40,0
51,0
44,0
34,0
30,0
66,1
44,0
63,0
22,0
25,0
55,0
30,0
58,0
23,0
39,0
39,0
34,0
4,0
17,0
33,0
85,1
34,0
15,0
44,0
33,0
0,0
21,0
22,0
0,0
58,0
39,0
69,0
79,1
10,0
23,0
49,0
13,0
10,0
21,0
0,0
37,0
29,0
30,0
7,0
18,0
22,0
26,0
63,0
48,0
12,0
22,0
28,0
40,0
46,0
55,0
28,0
40,0
45,0
61,1
81,0
31,0
12,0
86,0
41,0
22,0
51,0
14,0
65,0
34,0
51,0
34,0
18,0
26,0
64,1
33,0
6,0
29,0
29,0
62,0
46,0
65,1
67,0
29,0
47,0
44,0
46,0
47,0
74,0
35,0
48,0
22,0
13,0
57,1
66,0
39,0
52,0
52,0
29,0
26,0
49,0
15,0
52,0
19,0
17,0
50,0
53,0
0,0
26,0
21,0
28,0
39,0
26,0
23,0
43,0
11,0
14,0
21,0
58,0
13,0
43,0
9,0
0,0
31,0
20,0
53,0
73,1
52,0
47,0
50,0
45,0
41,0
61,0
43,0
24,0
32,0
45,0
26,0
73,1
22,0
50,0
14,0
57,0
86,1
24,0
50,0
73,0
30,0
25,0
57,0
57,0
21,0
45,0
40,0
42,0
26,0
38,0
27,0
26,0
31,0
16,0
33,0
11,0
32,0
18,0
33,0
46,0
50,0
27,0
74,1
25,0
61,0
32,0
28,0
30,0
55,0
41,0
49,0
81,1
32,0
48,0
33,0
46,0
30,0
18,0
37,0
22,0
75,1
9,0
26,0
47,0
47,0
41,0
19,0
19,0
0,0
67,0
14,0
9,0
63,0
15,0
0,0
23,0
82,1
29,0
59,0
55,0
32,0
31,0
45,0
18,0
46,0
35,0
30,0
7,0
50,0
0,0
0,0
24,0
54,0
37,0
49,0
14,0
63,0
